ADM,CLOT,DOM,EDUC,ELEC,EXP,FDAW,FDHO,FOOT,FURN,GASO,HEAL,HHTENURE,HOUS,ID,LIFE,LOCT,MAPP,PERS,READ,REFAGE,REFEDUC,REFMS,REFRACE,REFSEX,REGION,SAPP,SIZE,SIZEAF,SIZEAM,SIZEIN,SIZEJF,SIZEJM,TELE,TEXT,TOB,TOYS,TRIP,URBAN
1035,953,510,0,1170,22367,1300,2600,51,0,1560,3720,2,875,2521355,204,0,0,160,239,36,13,5,1,2,4,158,12,5,1,2,1,3,810,66,0,2136,0,1
800,1056.667,0,0,317,20842.8,1458,1300,0,400,600,3717.8,1,3095.333,2600983,0,0,380,160,.6667,50,12,5,1,1,4,790,3,1,2,0,0,0,780,0,173.3333,10,0,1
93,1041,319,0,1049,26227.95,1301,1209,412,294,1052,3717.4,1,8941,2550404,170,0,0,165,52,66,15,1,1,2,3,414,2,1,1,0,0,0,144,180,0,612,0,1
44,682,269.2,18,659,18565.85,895,1300,176,0,1500,3697.7,1,2112.25,2613462,226,0,0,200,633,45,15,1,2,2,3,0,5,2,1,0,1,1,369,0,0,0,0,1
108,765,240,500,196,12742.93,86.6667,650,0,60,250,3695.6,2,1210,2564114,100,0,0,73.3333,20,65,15,1,1,1,2,105,2,1,1,0,0,0,92,80,0,260,0,1
4584,2140,6331.2,0,823,58331.65,975,2990,480,300,750,3689.4,2,6403,2614972,2196,135,0,500,1130,70,17,1,1,1,1,150,2,1,1,0,0,0,815,488,0,700,0,1
80,1050,0,0,284,25713.07,2366.667,1733.333,221,1000,1800,3688.667,1,2075.667,2524015,249,0,0,213.3333,86.6667,54,12,1,1,1,3,128,6,3,2,0,0,1,480,0,476.6667,0,0,1
305,1621,467,0,202,22255.15,1518,2390,162,1250,832,3673.4,2,1025,2511905,0,0,0,120,98,68,16,1,1,1,2,0,2,1,1,0,0,0,532,0,0,792,0,1
142,1943,68,0,671,26376.95,595,2030,552,0,1356,3634.7,1,5275.5,2517585,1200,0,0,260,121,65,15,1,2,1,3,255,3,2,1,0,0,0,583,20,0,0,0,1
0,309,0,0,707,15354.44,260,975,316,0,360,3630,1,578.5,2511735,348,0,963,110,5,61,12,1,1,1,2,0,2,1,1,0,0,0,177,290,260,0,0,1
0,406.6667,0,0,420,13434.7,0,2062.667,160,0,560,3610,4,3840,2561274,0,144,0,13.3333,10,38,13,1,1,1,1,34,7,1,1,2,1,2,510,0,0,0,0,1
0,129,0,0,300,12935.75,780,2080,0,0,900,3603,2,500,2548354,0,0,0,30,1,53,11,1,4,1,4,0,5,3,2,0,0,0,515,0,0,0,0,1
11.6667,180,0,0,89,8606.333,173.3333,628.3333,106,0,160,3527,1,452.3333,2539755,0,0,0,40,29.3333,71,13,1,1,1,2,0,2,1,1,0,0,0,180,132,0,0,0,1
99.3333,150.6667,887,0,163,22188.61,526.6667,360,0,0,400,3484.8,1,5386.667,2608613,0,0,0,120,50,66,17,1,4,2,4,0,2,1,1,0,0,0,160,400,0,0,0,1
0,73,0,0,326,11528.5,520,1430,0,0,660,3484,1,1005,2585543,0,0,0,75,15,60,12,2,1,2,1,0,1,1,0,0,0,0,162,0,0,259,0,1
0,279,0,0,130,6928.517,0,260,161,0,400,3476.333,4,1040,2642122,0,0,0,6.6667,6.3333,41,15,3,2,2,3,0,5,3,0,0,0,2,176,43,0,0,0,1
300,500,0,0,270,9617.1,375,1300,0,0,860,3475.4,2,425,2589573,0,0,0,105,0,67,13,1,1,2,2,25,2,1,1,0,0,0,383,0,0,0,0,2
0,706,0,80,670,12175.75,195,1300,0,0,780,3474,4,2436,2547924,0,0,0,0,0,43,13,3,1,2,2,0,4,1,0,0,2,1,285,0,0,0,0,1
0,594,0,0,450,30303.5,0,2600,170,0,1950,3470,1,11828,2623522,0,0,0,55,0,29,16,5,1,1,1,22,4,2,2,0,0,0,510,0,0,0,0,1
0,46,0,0,200,6683.833,0,476.6667,29,0,300,3453,4,1100,2558904,0,0,0,0,0,48,15,1,1,2,3,0,2,1,1,0,0,0,100,0,86.6667,0,0,1
0,329,0,0,422,15487.4,390,1300,0,0,240,3411.4,2,4955,2515145,465,0,0,210,0,75,13,1,1,2,2,0,2,1,1,0,0,0,316,119,0,35,0,1
0,0,0,0,107,5561.4,0,390,0,0,105,3409.4,2,600,2620492,0,0,0,130,0,87,12,1,1,1,2,0,2,1,1,0,0,0,108,0,0,0,0,1
1474,583,34,0,325,24590.4,784,845,250,0,642,3408.4,1,4295,2579143,5213,0,85,312,142,68,15,1,1,2,3,0,2,1,1,0,0,0,352,0,390,0,3365,1
13.3333,16.6667,10,0,40,7101.167,433.3333,390,0,0,200,3403,4,700,2607413,0,0,0,66.6667,0,18,12,5,1,1,3,0,3,1,2,0,0,0,150,0,0,0,0,1
0,126.6667,0,0,287,9527.6,100,974.6667,100,0,230,3399.6,2,3046.667,2630582,0,0,0,66.6667,23.3333,69,12,1,1,1,1,0,2,1,1,0,0,0,350,0,0,0,0,1
0,767,750,0,210,32974.94,3100,1470,155,0,850,3395,4,7144,2582943,3600,0,0,100,0,60,15,1,1,2,4,47,2,1,1,0,0,0,0,0,0,65,2322,1
1990,2033,480,9072,345,49610.44,5074,2380,307,0,1060,3340,1,4901,2520785,2177,0,0,135,49,57,16,1,1,1,3,109,2,1,1,0,0,0,935,21,0,565,2100,1
50,1051.333,14,0,120,13536.83,418,1300,0,485,440,3337,1,306.3333,2573534,0,30,0,70,50,51,11,1,2,2,2,35,5,1,2,0,1,1,108,0,0,0,0,1
11,149,145,0,207,10253.05,665,520,90,0,600,3335,1,1008,2579073,0,0,0,65,50,49,12,1,1,1,1,45,2,1,1,0,0,0,93,21,0,337,30,1
828,1470,1143,0,384,33928.75,1725,1265,0,300,200,3325,1,8072.25,2520655,0,0,0,340,49,58,16,1,1,1,4,325,2,1,1,0,0,0,0,0,0,0,3215,1
0,129,960,0,294,10686.25,260,780,16,0,900,3320,5,1500,2615295,0,0,0,0,0,29,15,1,1,2,2,0,3,1,1,0,0,1,240,0,0,0,0,1
0,82,895,0,210,9058.467,52,589.3333,0,0,162,3314.133,2,2335.667,2524125,150,0,0,0,5.3333,81,12,2,1,2,2,0,1,1,0,0,0,0,147,3,0,90,0,1
138.3333,108,0,0,180,14411.9,650,866.6667,0,0,675,3250,1,1965,2562984,0,0,0,100,91.3333,49,12,1,1,2,4,0,3,1,2,0,0,0,296,0,0,175,0,1
608,99,0,0,280,11641.23,433.3333,650,0,0,660.6667,3213.6,2,755,2531215,47,0,0,288.6667,148,74,16,1,1,1,2,24,2,1,1,0,0,0,88,5,0,0,0,2
0,235,110,0,294,8318.9,260,975,0,0,300,3207.4,2,550,2514585,0,0,10,150,0,80,15,1,1,2,3,0,2,1,1,0,0,0,90,0,0,0,0,1
140,418,0,0,397,14315.5,1300,1300,0,0,1620,3199,1,776,2613142,0,0,0,225,45,59,12,1,1,2,2,0,2,1,1,0,0,0,390,0,650,0,0,2
8,46,115,0,370,9985.8,424.6667,433.3333,0,0,240,3198.133,1,1334,2631082,1071,0,0,305.3333,85.3333,80,13,2,1,2,2,0,1,1,0,0,0,0,122,0,0,0,293,1
